,poultry,maize,wheat,grains,beef,cheese,pig,sugar,soya,butter,oils,rice,sheep
TZA_1990_1993,0.974968638528,76.457473763,4.60424986693,23.1211293999,5.26887115569,0.0554060965318,0.26256533028,3.36622222048e-06,0.0270316891111,0.181012783825,3.21313860792,14.6548883766,1.06834465851
UKR_1990_1993,7.98166515806,0.487426606403,131.118449791,25.0842061147,19.965799217,2.31055423921,17.1534325654,1.75473580255e-06,0.924127211613,5.6442902911,12.4496942475,1.40421027933,0.579032331011
URY_1990_1993,7.96961086346,14.3149938412,94.3037862913,1.272443897,46.947969897,3.07538541224,5.70466268223,2.86299880006e-05,0.891931086578,1.2701326337,6.23809491734,8.42781274477,13.5638689648
USA_1990_1993,36.9076633472,11.7412184531,87.0768517954,5.98789433797,30.2006101847,11.4372484516,23.1953741782,0.0,0.0,2.14722593874,36.8114636352,11.7256240772,0.607880256267
VNM_1990_1993,2.11997760313,6.39038619306,4.43106429367,8.9546139451e-06,1.67326698542,0.00330512326166,8.49333985963,1.2792305778e-06,0.401520244897,0.0402945298212,2.34285272856,151.236911902,0.0312734325409
ZAF_1990_1993,12.4718427837,97.5113776045,56.0186742446,5.51297209115,13.0398335293,0.999220919504,2.53023772888,2.35855646438e-06,0.118813262182,0.408173167649,8.80635317338,8.16406524489,3.93209803528
ZMB_1990_1993,2.28122858621,131.889513263,10.3738440759,3.64907688813,3.15917274183,0.119502191792,0.875091742136,1.06358485106e-05,0.793934180009,0.0492669969834,1.61870119088,1.03646828466,0.207989924118
ARG_1993_1996,19.0632842695,28.7653613392,115.834754319,12.3957436944,46.8318633018,10.6157974767,4.89298621016,34.9959559484,0.287653613392,1.24082057618,17.0504622218,5.10948636784,2.056043369
AUS_1993_1996,23.7116847741,3.77191429951,89.8706203985,10.1811206497,26.0561397042,8.73693059869,15.1079011122,49.0794934054,0.0,4.29293877396,19.8739957042,10.7971566298,16.3549774701
BGD_1993_1996,0.774204219124,0.0668956564519,19.0837562257,0.523524380577,0.902004368712,0.00893929195175,5.99358217475e-07,7.68407979659e-07,7.68407979659e-07,0.140763740369,4.35905570107,144.79663279,0.787249211271
BRA_1993_1996,17.3702345849,23.6338085787,50.0598524531,1.65997540325,22.1545098983,2.35544087291,6.53774926818,48.4069090145,3.50694634814e-05,0.433719014313,18.5309437465,47.9796594329,0.639818724908
CAN_1993_1996,27.4592576437,54.5651715457,86.071425908,18.9541565594,22.9907073358,9.94219359428,21.5225605909,43.5557469574,15.2780129252,2.84612858486,49.9953600939,7.44843890037,0.713236365387
CHL_1993_1996,17.8787646648,5.648998937,130.135460872,2.61205773509,15.2225881277,3.57223663806,9.04048431604,6.38958917378e-06,6.38958917378e-06,0.688308889468,11.061154069,10.0007900894,0.78232987563
CHN_1993_1996,5.70205896366,4.27791585709,76.5638798152,5.59447853322,1.68821779299,0.153683361455,19.5516638548,5.04392859009,4.69225588697,0.0618904077101,6.81984503491,87.2586828906,1.15307812936
COL_1993_1996,12.0129210426,29.9929982016,26.3780851412,1.49529731313,12.6331105627,1.38638579314,2.85303887229,2.42492399713e-06,0.213879363729,0.399491093929,13.6387208144,27.5840292644,0.308328526004
DZA_1993_1996,6.28026519184,3.58426224163,187.22847194,15.5525629228,3.21141101309,0.346172454731,0.0818091181842,3.14650458051e-06,3.14650458051e-06,0.888384458302,12.8516302848,1.79497947123,5.58877875531
EGY_1993_1996,5.39791743546,43.9984873849,173.704996403,3.70991868084,6.2353336503,5.57664557635,0.0378484405744,1.45570926904e-06,0.0746376690442,2.16589157355,11.0864204438,33.8695641153,1.23365209079
ETH_1993_1996,0.563580326491,32.8283630095,25.2212966354,60.4976851527,2.98904613754,0.0621839901933,0.0138760307659,1.60108049077e-06,0.191634917728,0.199363036555,1.46212199562,0.184718714792,0.947387910432
EUN_1993_1996,15.919562716,9.86335338982,111.722917716,9.38738155314,12.6773643895,16.63683655,32.6716798534,34.8641742761,0.0,3.66522796581,21.2467880026,4.4720623735,2.75939904908
GHA_1993_1996,1.00805704707,47.2355731011,10.8409749506,22.9206880562,1.44506356236,0.00692841742806,0.576095513049,5.44438320299e-06,5.44438320299e-06,0.00666061533215,7.67278133779,14.0307854201,0.59838728912
